fid,new_commun,old_commun,mean_runoff,date
14,ANTARETRA,ANTARETRA,0.020980510666979448,2001-06
15,ANTSINDRA,ANTSINDRA,0.020213253422433852,2001-06
5,AMPASINAMBO,FASINTSARA,0.025043582782810627,2001-06
11,FASINTSARA,FASINTSARA,0.0229561369933802,2001-06
8,IFANADIANA,IFANADIANA,0.02619600299245502,2001-06
3,KELILALINA,KELILALINA,0.026246644096408627,2001-06
12,MAROHARATRA,MAROHARATRA,0.022094059504548676,2001-06
13,MAROTOKO,MAROTOKO,0.026403527026121417,2001-06
1,RANOMAFANA,RANOMAFANA,0.025430906318444368,2001-06
10,TSARATANANA,TSARATANANA,0.02305706297351798,2001-06
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.024604848024455634,2001-07
4,AMBOHIMIERA,AMBOHIMIERA,0.023724053635430096,2001-07
9,ANALAMPASINA,ANALAMPASINA,0.023733028340172706,2001-07
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.028427754780313536,2001-07
7,AMBIABE,ANDRORANGAVOLA,0.027976107079400906,2001-07
14,ANTARETRA,ANTARETRA,0.020155729848713153,2001-07
15,ANTSINDRA,ANTSINDRA,0.018666071367055653,2001-07
5,AMPASINAMBO,FASINTSARA,0.02546046350297486,2001-07
11,FASINTSARA,FASINTSARA,0.02382155129139426,2001-07
8,IFANADIANA,IFANADIANA,0.02489136278503243,2001-07
3,KELILALINA,KELILALINA,0.02447260269854799,2001-07
12,MAROHARATRA,MAROHARATRA,0.0237334122023708,2001-07
13,MAROTOKO,MAROTOKO,0.02970755045604895,2001-07
1,RANOMAFANA,RANOMAFANA,0.023819205808816083,2001-07
10,TSARATANANA,TSARATANANA,0.021408096131215484,2001-07
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.03519796655883203,2001-08
4,AMBOHIMIERA,AMBOHIMIERA,0.030770187025586933,2001-08
9,ANALAMPASINA,ANALAMPASINA,0.029296966096370777,2001-08
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.03471437220838521,2001-08
7,AMBIABE,ANDRORANGAVOLA,0.03508370725918017,2001-08
14,ANTARETRA,ANTARETRA,0.022874364581549043,2001-08
15,ANTSINDRA,ANTSINDRA,0.03500769047576008,2001-08
5,AMPASINAMBO,FASINTSARA,0.03177093157992034,2001-08
11,FASINTSARA,FASINTSARA,0.03919116450700864,2001-08
8,IFANADIANA,IFANADIANA,0.030119909378038472,2001-08
3,KELILALINA,KELILALINA,0.030204798044953005,2001-08
12,MAROHARATRA,MAROHARATRA,0.035962107545792515,2001-08
13,MAROTOKO,MAROTOKO,0.034820977288472596,2001-08
1,RANOMAFANA,RANOMAFANA,0.030249794444294282,2001-08
10,TSARATANANA,TSARATANANA,0.02668230632294968,2001-08
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.023292628573032468,2001-09
4,AMBOHIMIERA,AMBOHIMIERA,0.02157780210919901,2001-09
9,ANALAMPASINA,ANALAMPASINA,0.021836258893163887,2001-09
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.02264093710636109,2001-09
7,AMBIABE,ANDRORANGAVOLA,0.02269570896417811,2001-09
14,ANTARETRA,ANTARETRA,0.01787533385855679,2001-09
15,ANTSINDRA,ANTSINDRA,0.0185254198910352,2001-09
5,AMPASINAMBO,FASINTSARA,0.022140487704803216,2001-09
11,FASINTSARA,FASINTSARA,0.02106763080759158,2001-09
8,IFANADIANA,IFANADIANA,0.021011597088495104,2001-09
3,KELILALINA,KELILALINA,0.021172015656234534,2001-09
12,MAROHARATRA,MAROHARATRA,0.0209927501739059,2001-09
13,MAROTOKO,MAROTOKO,0.02302890536413777,2001-09
1,RANOMAFANA,RANOMAFANA,0.020925779566884968,2001-09
10,TSARATANANA,TSARATANANA,0.01955380509398887,2001-09
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.013922667231781516,2001-10
4,AMBOHIMIERA,AMBOHIMIERA,0.013416519743375774,2001-10
9,ANALAMPASINA,ANALAMPASINA,0.014061267717618165,2001-10
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.013654609396800613,2001-10
7,AMBIABE,ANDRORANGAVOLA,0.013586121828131091,2001-10
14,ANTARETRA,ANTARETRA,0.012031404091755448,2001-10
15,ANTSINDRA,ANTSINDRA,0.009929274088320415,2001-10
5,AMPASINAMBO,FASINTSARA,0.013474853078393587,2001-10
11,FASINTSARA,FASINTSARA,0.01111011927354979,2001-10
8,IFANADIANA,IFANADIANA,0.013252122502617737,2001-10
3,KELILALINA,KELILALINA,0.013383576148780866,2001-10
12,MAROHARATRA,MAROHARATRA,0.011713330326037061,2001-10
